iter	Accuracy	Logloss
0	0.8771046227	0.5282308139
1	0.8771046227	0.4502407727
2	0.8771046227	0.3847151695
3	0.8771046227	0.3470574964
4	0.8771046227	0.3235702393
5	0.8771046227	0.3088034837
6	0.8771046227	0.2987269747
7	0.8771046227	0.2918559484
8	0.8771046227	0.2870563917
9	0.8771046227	0.2834593333
10	0.8771046227	0.2804997703
11	0.8771046227	0.2783530893
12	0.8771046227	0.2766143833
13	0.8771046227	0.27534834
14	0.8771046227	0.2744514127
15	0.8771046227	0.2734586086
16	0.8771046227	0.2727080729
17	0.8771046227	0.2719689854
18	0.8771046227	0.271486358
19	0.8771046227	0.2709394211
20	0.8771046227	0.2704012914
21	0.8771046227	0.2701087633
22	0.8771046227	0.269773522
23	0.8771046227	0.2695471826
24	0.8771046227	0.2692030769
25	0.8771046227	0.2689509033
26	0.8771046227	0.2687829075
27	0.8771046227	0.2685264255
28	0.8771046227	0.2684273705
29	0.8771046227	0.2682512248
30	0.8771046227	0.2681206615
31	0.8771046227	0.2680456244
32	0.8771046227	0.2679569421
33	0.8771046227	0.2678393079
34	0.8771046227	0.2677510073
35	0.8771046227	0.267665309
36	0.8771046227	0.2675698922
37	0.8771046227	0.2674926169
38	0.8771046227	0.2674133791
39	0.8771046227	0.2673650332
40	0.8771046227	0.2672797908
41	0.8771046227	0.2672205378
42	0.8771046227	0.2671715236
43	0.8771046227	0.2671116012
44	0.8771046227	0.2670353011
45	0.8771046227	0.2669841292
46	0.8771046227	0.2668881273
47	0.8771046227	0.2668388769
48	0.8771046227	0.2667999677
49	0.8771046227	0.2667613397
50	0.8771046227	0.2667068178
51	0.8771046227	0.2666548434
52	0.8771046227	0.2665947763
53	0.8771046227	0.2665514326
54	0.8771046227	0.2665060422
55	0.8771046227	0.2664496096
56	0.8771079384	0.266420646
57	0.8771046227	0.2663868423
58	0.8771178854	0.2663379297
59	0.8771344638	0.2663154919
60	0.8771311481	0.2662911901
61	0.8771311481	0.2662641166
62	0.8771344638	0.2662289963
63	0.8771344638	0.2661873008
64	0.8771377794	0.266154342
65	0.8771377794	0.2661318999
66	0.8771410951	0.2661084322
67	0.8771444108	0.2660847397
68	0.8771444108	0.2660467628
69	0.8771841988	0.2660263375
70	0.8771875145	0.2659997031
71	0.8771875145	0.2659589897
72	0.8771808832	0.2659417137
73	0.8771841988	0.2659213217
74	0.8771841988	0.2659020439
75	0.8771841988	0.2658818652
76	0.8771875145	0.2658492403
77	0.8771974615	0.2658315674
78	0.8772239869	0.2658093175
79	0.8772273026	0.2657872167
80	0.8772438809	0.2657740219
81	0.8772438809	0.2657555053
82	0.8772438809	0.2657371781
83	0.8772803533	0.265713831
84	0.8772869847	0.2656982376
85	0.877283669	0.2656593402
86	0.8773002473	0.2656406664
87	0.8772869847	0.2656221907
88	0.877303563	0.2656113281
89	0.8773101944	0.2655913566
90	0.877303563	0.2655802398
91	0.8773433511	0.2655605387
92	0.8773466668	0.2655427115
93	0.8773466668	0.2655250962
94	0.8773499824	0.2655111317
95	0.8773466668	0.2654972283
96	0.8773466668	0.2654854848
97	0.8773466668	0.2654586022
98	0.8773499824	0.2654492672
99	0.8773566138	0.2654391562
100	0.8773599294	0.2654233126
101	0.8773930862	0.2654091094
102	0.8774262429	0.2653960436
103	0.8774395056	0.2653887618
104	0.8774361899	0.2653791066
105	0.8774395056	0.2653627375
106	0.8774494526	0.2653407262
107	0.8774395056	0.2653337283
108	0.8774428212	0.265320946
109	0.8774461369	0.2653061225
110	0.8774527683	0.2652823558
111	0.8774527683	0.2652685213
112	0.8774527683	0.2652516672
113	0.8774527683	0.2652299336
114	0.8774593996	0.2652208104
115	0.8774693466	0.2652095269
116	0.8774527683	0.2651967168
117	0.8774494526	0.2651850827
118	0.8774494526	0.2651727268
119	0.8774560839	0.2651661301
120	0.8774395056	0.2651518721
121	0.8774395056	0.2651413957
122	0.8774693466	0.2651262693
123	0.8774693466	0.2651104384
124	0.8774726623	0.2650986499
125	0.8774693466	0.2650835283
126	0.8774693466	0.2650736791
127	0.8774693466	0.2650600913
128	0.8774726623	0.2650437386
129	0.8774660309	0.2650280864
130	0.8774593996	0.2650153598
131	0.8774593996	0.2650043026
132	0.8774593996	0.2649903938
133	0.8774693466	0.2649675919
134	0.877475978	0.2649570964
135	0.877475978	0.264944854
136	0.8774593996	0.2649348147
137	0.8774560839	0.2649192742
138	0.8774693466	0.2649071427
139	0.877485925	0.2648930038
140	0.8775190817	0.2648786386
141	0.8775190817	0.2648647842
142	0.8775389757	0.2648509756
143	0.8775389757	0.2648284165
144	0.8775522384	0.2648159431
145	0.8775489227	0.2648047434
146	0.8775522384	0.2647953891
147	0.8775522384	0.2647819314
148	0.8775356601	0.2647705755
149	0.8775456071	0.2647612912
150	0.8775688168	0.2647493652
151	0.8775754481	0.2647355754
152	0.8775688168	0.2647232683
153	0.8775588698	0.2647135128
154	0.8775489227	0.2646977496
155	0.8775456071	0.2646858955
156	0.8775621854	0.2646738165
157	0.8775588698	0.2646557166
158	0.8775688168	0.264643666
159	0.8775986578	0.2646350968
160	0.8775920265	0.2646214135
161	0.8776019735	0.2646114212
162	0.8775853951	0.2645943026
163	0.8776119205	0.2645834536
164	0.8776185518	0.2645625739
165	0.8776284989	0.2645503132
166	0.8776119205	0.2645360846
167	0.8776450772	0.2645244858
168	0.8776417616	0.2645133486
169	0.8776318145	0.2645049108
170	0.8776550242	0.2644933305
171	0.8776483929	0.2644782126
172	0.8776583399	0.2644712496
173	0.8776716026	0.2644568404
174	0.8776749183	0.2644463989
175	0.8776450772	0.2644335757
176	0.8776517086	0.2644198617
177	0.8776450772	0.2644037931
178	0.8776682869	0.2643916781
179	0.8776550242	0.2643821492
180	0.8776550242	0.2643667081
181	0.8776550242	0.2643546238
182	0.8776649713	0.2643411969
183	0.8776682869	0.2643322736
184	0.877688181	0.2643194688
185	0.8776815496	0.2643064282
186	0.8776948123	0.2642950097
187	0.8777014436	0.2642828314
188	0.8777113907	0.2642745499
189	0.877708075	0.2642623686
190	0.8776848653	0.2642522666
191	0.877698128	0.2642454132
192	0.877688181	0.2642355325
193	0.8776914966	0.264223166
194	0.8776948123	0.2642155518
195	0.877708075	0.2642046036
196	0.8777113907	0.2641866825
197	0.8777014436	0.2641757269
198	0.8777047593	0.2641653875
199	0.8777213377	0.2641551934
200	0.8777113907	0.2641412342
201	0.877718022	0.2641305211
202	0.8777147063	0.264120529
203	0.8777246533	0.2641111619
204	0.8777346004	0.2641020974
205	0.8777445474	0.2640920475
206	0.8777445474	0.2640797366
207	0.877727969	0.2640683086
208	0.8777346004	0.2640600249
209	0.877737916	0.2640475407
210	0.8777412317	0.2640402446
211	0.877747863	0.2640331645
212	0.8777611257	0.2640224055
213	0.8777644414	0.2640133505
214	0.8777677571	0.263998482
215	0.8777578101	0.2639879364
216	0.8777544944	0.2639790846
217	0.8777611257	0.2639700201
218	0.8777710728	0.2639617426
219	0.8777810198	0.2639540222
220	0.8777975981	0.26394615
221	0.8778241235	0.2639309765
222	0.8778208078	0.2639197482
223	0.8778307548	0.26390991
224	0.8778605959	0.2639011346
225	0.8778506489	0.2638875779
226	0.8778539645	0.2638788076
227	0.8778605959	0.2638647232
228	0.8778738586	0.2638566843
229	0.8778871213	0.2638467591
230	0.8779169623	0.2638397134
231	0.8779169623	0.2638295138
232	0.877910331	0.2638203488
233	0.877910331	0.2638132316
234	0.8779335407	0.2638055392
235	0.877930225	0.2637901389
236	0.8779269093	0.2637811647
237	0.8779335407	0.263772149
238	0.8779368563	0.2637622384
239	0.8779434877	0.2637490548
240	0.8779468034	0.2637419814
241	0.8779434877	0.2637338841
242	0.877950119	0.2637280616
243	0.8779335407	0.2637177786
244	0.877940172	0.2637101975
245	0.8779832758	0.2637019613
246	0.8779766444	0.263682009
247	0.8779799601	0.2636711004
248	0.8779799601	0.2636588643
249	0.8779832758	0.2636491108
250	0.8779932228	0.263641672
251	0.8779998541	0.2636326346
252	0.8779932228	0.2636205345
253	0.8779932228	0.2636124967
254	0.8780031698	0.2636033148
255	0.8780098011	0.2635984379
256	0.8779899071	0.2635880948
257	0.8780131168	0.2635778401
258	0.8780197481	0.2635716975
259	0.8780131168	0.2635631199
260	0.8780064855	0.2635541595
261	0.8780230638	0.2635418584
262	0.8780296952	0.2635321955
263	0.8780330108	0.2635214204
264	0.8780363265	0.2635143769
265	0.8780363265	0.2635056461
266	0.8780429578	0.2634949653
267	0.8780363265	0.2634866904
268	0.8780462735	0.2634806179
269	0.8780495892	0.2634712394
270	0.8780595362	0.2634633649
271	0.8780727989	0.2634551998
272	0.8780628519	0.2634479054
273	0.8780661675	0.2634364971
274	0.8780727989	0.2634252792
275	0.8780893773	0.2634170946
276	0.8780794302	0.2634076042
277	0.8780893773	0.2634008262
278	0.8781059556	0.2633924311
279	0.8780993243	0.2633857515
280	0.8780727989	0.2633780546
281	0.8780827459	0.2633709538
282	0.8781092713	0.2633626543
283	0.8781192183	0.2633555047
284	0.8781159026	0.2633428057
285	0.8781026399	0.2633360338
286	0.878122534	0.263326991
287	0.878112587	0.2633198111
288	0.878122534	0.2633108061
289	0.8781092713	0.2633016075
290	0.8781092713	0.263293597
291	0.8781026399	0.2632876237
292	0.8781159026	0.2632832584
293	0.8781026399	0.2632770533
294	0.878112587	0.2632650458
295	0.8781192183	0.2632560377
296	0.878122534	0.2632440832
297	0.878122534	0.2632378636
298	0.8781258496	0.2632247945
299	0.8781192183	0.2632177319
300	0.8781291653	0.2632094021
301	0.8781391123	0.2631988656
302	0.8781457437	0.2631861973
303	0.878132481	0.2631784148
304	0.8781291653	0.2631703742
305	0.878132481	0.2631630715
306	0.8781391123	0.2631544501
307	0.8781258496	0.2631423132
308	0.8781291653	0.2631375171
309	0.8781357967	0.2631290092
310	0.878132481	0.2631207158
311	0.878122534	0.2631109566
312	0.878122534	0.2631031457
313	0.8781159026	0.2630950533
314	0.8781159026	0.2630861839
315	0.8781192183	0.2630801729
316	0.878122534	0.2630694856
317	0.878122534	0.2630634213
318	0.878122534	0.263056224
319	0.8781258496	0.2630485395
320	0.8781391123	0.2630431718
321	0.8781457437	0.2630352311
322	0.8781556907	0.2630275381
323	0.878152375	0.2630185333
324	0.8781590064	0.2630084069
325	0.8781755847	0.263003381
326	0.8781921631	0.2629959141
327	0.8782186885	0.2629864515
328	0.8782153728	0.2629779738
329	0.8782253198	0.262970035
330	0.8782186885	0.2629628253
331	0.8782120571	0.2629579905
332	0.8782087414	0.2629488642
333	0.8782021101	0.2629401095
334	0.8782021101	0.2629279128
335	0.8782054258	0.262919397
336	0.8782054258	0.2629114336
337	0.8782087414	0.262904297
338	0.8782021101	0.2628963901
339	0.8782385825	0.2628896412
340	0.8782452138	0.2628825322
341	0.8782385825	0.2628739835
342	0.8782816862	0.2628670147
343	0.8782750549	0.2628592462
344	0.8782684235	0.2628523134
345	0.8782883176	0.2628398362
346	0.8782982646	0.2628303557
347	0.8783015802	0.2628253133
348	0.8783015802	0.2628161166
349	0.8782916332	0.2628127108
350	0.8782949489	0.2628021045
351	0.8782982646	0.2627958514
352	0.8783082116	0.2627884448
353	0.8783148429	0.2627795465
354	0.8783214743	0.2627722703
355	0.878334737	0.2627653978
356	0.8783380526	0.2627572026
357	0.8783314213	0.2627453212
358	0.8783181586	0.2627386629
359	0.8783181586	0.2627290085
360	0.8783314213	0.2627188874
361	0.8783380526	0.2627133357
362	0.8783281056	0.2627065148
363	0.8783148429	0.2626988533
364	0.8783281056	0.262691339
365	0.8783281056	0.2626810669
366	0.878344684	0.2626731387
367	0.878354631	0.262664301
368	0.8783579467	0.2626569258
369	0.878374525	0.2626494255
370	0.8783712094	0.2626376067
371	0.8783778407	0.2626287409
372	0.8783811564	0.2626221611
373	0.8783712094	0.2626132083
374	0.8783712094	0.2626038906
375	0.8783579467	0.262597023
376	0.878364578	0.2625919724
377	0.8783612623	0.2625813058
378	0.8783612623	0.2625714889
379	0.8783778407	0.2625642872
380	0.8783712094	0.2625557216
381	0.8783911034	0.2625460957
382	0.8783977347	0.2625403656
383	0.8783977347	0.2625311586
384	0.8784043661	0.2625179667
385	0.8784143131	0.2625109154
386	0.8784109974	0.2624994126
387	0.8784176288	0.2624902638
388	0.8784242601	0.2624765083
389	0.8784342071	0.2624674423
390	0.8784375228	0.2624583234
391	0.8784342071	0.2624543344
392	0.8784308915	0.2624434323
393	0.8784308915	0.2624348731
394	0.8784308915	0.2624252855
395	0.8784441541	0.2624171907
396	0.8784507855	0.2624059603
397	0.8784640482	0.2623964644
398	0.8784541012	0.2623896156
399	0.8784739952	0.2623808301
400	0.8784773109	0.2623709517
401	0.8784739952	0.2623637893
402	0.8784773109	0.2623582556
403	0.8784739952	0.2623481679
404	0.8784773109	0.2623420877
405	0.8784806265	0.26233106
406	0.8785005206	0.2623207671
407	0.8784872579	0.2623151741
408	0.8784773109	0.2623072228
409	0.8784706795	0.2623031055
410	0.8784640482	0.2622965892
411	0.8784739952	0.2622888901
412	0.8784706795	0.2622818265
413	0.8784773109	0.2622733009
