iter	Passed	Remaining
0	21	21929
1	37	18730
2	56	18864
3	71	17802
4	87	17420
5	103	17073
6	118	16797
7	132	16446
8	146	16154
9	162	16124
10	180	16191
11	195	16055
12	210	15979
13	227	16000
14	242	15909
15	258	15876
16	273	15821
17	287	15708
18	303	15650
19	316	15506
20	330	15423
21	344	15321
22	360	15316
23	376	15290
24	391	15285
25	406	15234
26	423	15249
27	437	15184
28	451	15128
29	466	15083
30	480	15024
31	496	15012
32	511	14988
33	527	14995
34	543	14979
35	558	14949
36	572	14904
37	588	14886
38	603	14877
39	615	14778
40	631	14768
41	645	14726
42	662	14738
43	678	14737
44	694	14742
45	711	14754
46	727	14759
47	742	14722
48	756	14688
49	772	14684
50	788	14667
51	803	14645
52	817	14613
53	831	14574
54	847	14556
55	861	14527
56	876	14507
57	891	14475
58	907	14469
59	922	14454
60	938	14450
61	953	14429
62	968	14399
63	982	14364
64	996	14336
65	1014	14352
66	1034	14404
67	1049	14384
68	1068	14410
69	1084	14404
70	1099	14383
71	1117	14399
72	1131	14363
73	1148	14367
74	1162	14342
75	1177	14312
76	1194	14317
77	1209	14301
78	1225	14283
79	1240	14261
80	1254	14231
81	1269	14206
82	1283	14182
83	1298	14156
84	1313	14140
85	1328	14121
86	1343	14096
87	1358	14076
88	1372	14044
89	1387	14027
90	1401	13999
91	1415	13974
92	1429	13943
93	1443	13917
94	1458	13890
95	1476	13899
96	1493	13901
97	1511	13908
98	1526	13895
99	1543	13889
100	1559	13884
101	1574	13865
102	1589	13843
103	1603	13815
104	1617	13790
105	1633	13774
106	1647	13750
107	1662	13729
108	1677	13710
109	1691	13689
110	1707	13676
111	1722	13660
112	1738	13643
113	1753	13630
114	1769	13615
115	1784	13600
116	1798	13576
117	1816	13577
118	1833	13574
119	1850	13567
120	1868	13571
121	1889	13597
122	1908	13605
123	1925	13602
124	1941	13593
125	1959	13594
126	1980	13611
127	2000	13630
128	2017	13622
129	2034	13616
130	2051	13607
131	2065	13584
132	2080	13562
133	2094	13539
134	2109	13513
135	2126	13506
136	2140	13480
137	2153	13453
138	2167	13427
139	2181	13399
140	2196	13380
141	2211	13359
142	2226	13342
143	2242	13332
144	2257	13309
145	2272	13290
146	2287	13271
147	2302	13254
148	2316	13231
149	2330	13207
150	2345	13188
151	2361	13172
152	2375	13152
153	2389	13127
154	2404	13110
155	2418	13083
156	2432	13063
157	2446	13039
158	2462	13024
159	2477	13005
160	2492	12989
161	2508	12975
162	2523	12958
163	2537	12935
164	2551	12913
165	2567	12896
166	2581	12877
167	2597	12862
168	2612	12845
169	2626	12825
170	2642	12812
171	2656	12789
172	2670	12766
173	2685	12749
174	2700	12732
175	2715	12711
176	2730	12696
177	2748	12692
178	2763	12675
179	2779	12663
180	2797	12659
181	2814	12648
182	2832	12643
183	2846	12625
184	2864	12619
185	2879	12601
186	2894	12583
187	2908	12561
188	2922	12539
189	2937	12521
190	2950	12496
191	2964	12475
192	2980	12460
193	2994	12441
194	3008	12418
195	3022	12397
196	3036	12377
197	3051	12358
198	3069	12356
199	3085	12343
200	3105	12345
201	3121	12329
202	3140	12328
203	3156	12316
204	3171	12299
205	3187	12286
206	3204	12277
207	3221	12265
208	3235	12246
209	3253	12239
210	3276	12250
211	3291	12233
212	3308	12223
213	3327	12221
214	3344	12212
215	3363	12206
216	3382	12206
217	3400	12196
218	3416	12183
219	3432	12169
220	3449	12158
221	3466	12147
222	3482	12135
223	3499	12123
224	3513	12103
225	3529	12088
226	3545	12072
227	3560	12057
228	3579	12050
229	3594	12034
230	3609	12014
231	3623	11996
232	3639	11980
233	3654	11962
234	3668	11941
235	3682	11922
236	3696	11901
237	3712	11886
238	3727	11870
239	3742	11851
240	3760	11841
241	3777	11831
242	3791	11812
243	3807	11797
244	3822	11778
245	3837	11762
246	3851	11742
247	3866	11724
248	3882	11710
249	3898	11695
250	3912	11674
251	3925	11653
252	3941	11636
253	3956	11619
254	3971	11602
255	3988	11590
256	4006	11583
257	4026	11578
258	4043	11569
259	4060	11558
260	4078	11548
261	4094	11534
262	4110	11519
263	4129	11512
264	4149	11508
265	4171	11512
266	4197	11522
267	4216	11517
268	4235	11510
269	4255	11504
270	4278	11508
271	4305	11524
272	4325	11518
273	4350	11528
274	4371	11525
275	4389	11515
276	4404	11497
277	4419	11478
278	4434	11458
279	4447	11436
280	4464	11423
281	4479	11404
282	4494	11387
283	4508	11365
284	4522	11345
285	4538	11329
286	4552	11309
287	4567	11291
288	4582	11275
289	4596	11254
290	4613	11240
291	4628	11221
292	4643	11203
293	4658	11186
294	4672	11166
295	4689	11152
296	4703	11134
297	4717	11114
298	4731	11093
299	4746	11075
300	4762	11060
301	4778	11044
302	4793	11026
303	4808	11008
304	4823	10992
305	4838	10973
306	4854	10958
307	4869	10939
308	4883	10920
309	4898	10902
310	4912	10883
311	4928	10868
312	4943	10850
313	4958	10832
314	4973	10815
315	4989	10799
316	5004	10782
317	5018	10763
318	5033	10745
319	5048	10727
320	5062	10708
321	5076	10689
322	5091	10671
323	5105	10651
324	5120	10635
325	5135	10616
326	5149	10598
327	5165	10583
328	5180	10566
329	5194	10546
330	5208	10528
331	5223	10509
332	5237	10490
333	5252	10472
334	5268	10458
335	5282	10439
336	5297	10422
337	5316	10413
338	5331	10396
339	5347	10379
340	5361	10361
341	5377	10346
342	5392	10329
343	5406	10310
344	5421	10292
345	5437	10277
346	5451	10259
347	5465	10240
348	5479	10221
349	5495	10206
350	5512	10192
351	5527	10176
352	5545	10164
353	5562	10150
354	5579	10136
355	5594	10120
356	5610	10104
357	5625	10088
358	5639	10069
359	5654	10053
360	5670	10036
361	5683	10016
362	5698	9999
363	5716	9987
364	5735	9978
365	5751	9962
366	5766	9945
367	5782	9930
368	5800	9918
369	5819	9908
370	5834	9891
371	5849	9874
372	5863	9856
373	5878	9839
374	5893	9822
375	5908	9805
376	5923	9788
377	5940	9775
378	5958	9762
379	5973	9745
380	5996	9743
381	6014	9730
382	6029	9713
383	6047	9700
384	6061	9683
385	6076	9665
386	6091	9649
387	6106	9632
388	6121	9614
389	6135	9596
390	6152	9582
391	6170	9569
392	6187	9557
393	6206	9545
394	6224	9533
395	6240	9518
396	6259	9506
397	6278	9496
398	6296	9483
399	6316	9474
400	6341	9472
401	6357	9457
402	6377	9447
403	6392	9430
404	6407	9412
405	6423	9398
406	6441	9385
407	6456	9367
408	6472	9352
409	6487	9335
410	6501	9316
411	6516	9299
412	6529	9281
413	6547	9268
414	6567	9257
415	6582	9240
416	6597	9223
417	6612	9207
418	6626	9188
419	6643	9173
420	6657	9155
421	6673	9141
422	6689	9124
423	6703	9106
424	6718	9089
425	6732	9071
426	6748	9055
427	6763	9038
428	6779	9023
429	6793	9005
430	6808	8988
431	6825	8973
432	6845	8964
433	6863	8951
434	6879	8935
435	6895	8920
436	6910	8902
437	6925	8886
438	6941	8870
439	6956	8854
440	6973	8839
441	6988	8823
442	7004	8807
443	7020	8791
444	7033	8772
445	7048	8755
446	7065	8740
447	7079	8722
448	7093	8704
449	7106	8686
450	7122	8669
451	7135	8650
452	7150	8634
453	7165	8617
454	7179	8599
455	7193	8581
456	7208	8565
457	7224	8549
458	7245	8540
459	7264	8527
460	7281	8514
461	7299	8500
462	7317	8486
463	7333	8471
464	7356	8464
465	7373	8450
466	7397	8442
467	7413	8427
468	7427	8409
469	7442	8392
470	7456	8374
471	7469	8355
472	7483	8337
473	7499	8322
474	7517	8308
475	7534	8294
476	7553	8281
477	7572	8269
478	7590	8256
479	7610	8244
480	7627	8229
481	7642	8213
482	7657	8196
483	7675	8182
484	7690	8166
485	7706	8150
486	7720	8132
487	7735	8115
488	7751	8100
489	7766	8083
490	7781	8067
491	7795	8049
492	7810	8032
493	7824	8014
494	7838	7996
495	7855	7982
496	7873	7969
497	7890	7953
498	7907	7938
499	7924	7924
500	7940	7908
501	7955	7892
502	7970	7875
503	7986	7859
504	7999	7841
505	8013	7823
506	8026	7805
507	8040	7787
508	8055	7770
509	8072	7755
510	8086	7738
511	8102	7722
512	8120	7709
513	8137	7694
514	8157	7682
515	8173	7666
516	8189	7650
517	8204	7634
518	8221	7619
519	8237	7603
520	8253	7588
521	8270	7573
522	8288	7559
523	8305	7545
524	8325	7532
525	8344	7519
526	8365	7508
527	8387	7497
528	8409	7487
529	8427	7473
530	8445	7459
531	8464	7445
532	8482	7432
533	8502	7420
534	8520	7405
535	8542	7395
536	8563	7383
537	8583	7370
538	8602	7357
539	8619	7342
540	8634	7325
541	8651	7310
542	8666	7294
543	8685	7280
544	8701	7264
545	8718	7249
546	8734	7233
547	8749	7217
548	8766	7201
549	8783	7186
550	8799	7170
551	8816	7155
552	8832	7139
553	8849	7123
554	8866	7109
555	8880	7091
556	8894	7074
557	8909	7057
558	8922	7039
559	8937	7022
560	8952	7005
561	8967	6988
562	8984	6974
563	9001	6958
564	9016	6941
565	9031	6925
566	9044	6907
567	9060	6891
568	9075	6874
569	9090	6858
570	9105	6841
571	9123	6826
572	9141	6812
573	9157	6796
574	9174	6780
575	9195	6768
576	9211	6752
577	9227	6737
578	9243	6721
579	9257	6703
580	9272	6687
581	9287	6670
582	9301	6653
583	9314	6635
584	9329	6618
585	9343	6601
586	9363	6587
587	9384	6575
588	9401	6560
589	9418	6544
590	9434	6529
591	9450	6512
592	9467	6498
593	9485	6483
594	9499	6466
595	9513	6448
596	9530	6433
597	9546	6417
598	9562	6401
599	9576	6384
600	9594	6369
601	9610	6353
602	9625	6337
603	9641	6321
604	9655	6304
605	9671	6288
606	9687	6272
607	9701	6255
608	9716	6238
609	9730	6221
610	9745	6204
611	9760	6187
612	9775	6171
613	9790	6154
614	9807	6139
615	9821	6122
616	9836	6106
617	9850	6088
618	9865	6072
619	9879	6054
620	9892	6037
621	9908	6021
622	9922	6004
623	9937	5988
624	9953	5972
625	9967	5954
626	9981	5938
627	9996	5921
628	10010	5904
629	10026	5888
630	10040	5871
631	10055	5855
632	10069	5837
633	10084	5821
634	10101	5806
635	10115	5789
636	10130	5773
637	10148	5758
638	10164	5742
639	10180	5726
640	10199	5712
641	10217	5697
642	10235	5682
643	10252	5667
644	10274	5654
645	10296	5642
646	10315	5627
647	10333	5613
648	10353	5599
649	10368	5582
650	10382	5566
651	10397	5549
652	10411	5532
653	10425	5515
654	10439	5498
655	10455	5482
656	10470	5466
657	10490	5452
658	10509	5438
659	10529	5424
660	10545	5408
661	10562	5392
662	10581	5378
663	10603	5365
664	10621	5350
665	10639	5335
666	10655	5319
667	10675	5305
668	10694	5291
669	10712	5276
670	10731	5261
671	10747	5245
672	10764	5230
673	10781	5214
674	10797	5198
675	10811	5181
676	10831	5167
677	10847	5151
678	10866	5136
679	10881	5120
680	10895	5103
681	10912	5088
682	10926	5071
683	10940	5054
684	10955	5037
685	10968	5020
686	10984	5004
687	10999	4988
688	11014	4971
689	11028	4954
690	11044	4938
691	11058	4921
692	11072	4905
693	11087	4888
694	11101	4871
695	11118	4856
696	11133	4839
697	11146	4822
698	11161	4806
699	11175	4789
700	11190	4773
701	11202	4755
702	11217	4739
703	11231	4722
704	11244	4705
705	11258	4688
706	11272	4671
707	11287	4655
708	11303	4639
709	11321	4624
710	11337	4608
711	11356	4593
712	11372	4577
713	11388	4561
714	11405	4546
715	11424	4531
716	11440	4515
717	11466	4503
718	11503	4495
719	11524	4481
720	11547	4468
721	11563	4452
722	11580	4436
723	11595	4420
724	11611	4404
725	11626	4388
726	11642	4371
727	11658	4355
728	11672	4339
729	11687	4322
730	11702	4306
731	11716	4289
732	11731	4273
